Zeit	Kanal A	Kanal B
(s)	(V)	(V)

-10.00366592	12.76467000	3.05429200
-10.00233192	12.76467000	3.14310100
-10.00099792	12.76467000	3.14310100
-9.99966392	12.76467000	3.05429200
-9.99832992	12.76467000	3.05429200
-9.99699592	12.76467000	3.05429200
-9.99566192	12.76467000	3.05429200
-9.99432792	12.76467000	3.05429200
-9.99299392	12.76467000	3.05429200
-9.99165992	12.76467000	3.05429200
-9.99032592	12.76467000	3.05429200
-9.98899192	12.76467000	3.05429200
-9.98765792	12.76467000	3.05429200
-9.98632392	12.76467000	3.05429200
-9.98498992	12.76467000	3.05429200
-9.98365592	12.76467000	3.05429200
-9.98232192	12.76467000	3.14310100
-9.98098792	12.76467000	3.05429200
-9.97965392	12.76467000	3.05429200
-9.97831992	12.94290000	3.05429200
-9.97698592	12.76467000	3.05429200
-9.97565192	12.76467000	3.05429200
-9.97431792	12.76467000	3.05429200
-9.97298392	12.76467000	3.14310100
-9.97164992	12.76467000	3.05429200
-9.97031592	12.76467000	3.05429200
-9.96898192	12.76467000	3.05429200
-9.96764792	12.76467000	3.05429200
-9.96631392	12.76467000	3.05429200
-9.96497992	12.76467000	3.05429200
-9.96364592	12.76467000	3.05429200
-9.96231192	12.76467000	3.05429200
-9.96097792	12.76467000	3.05429200
-9.95964392	12.76467000	3.14310100
-9.95830992	12.76467000	3.05429200
-9.95697592	12.76467000	3.05429200
-9.95564192	12.76467000	3.05429200
-9.95430792	12.76467000	3.14310100
-9.95297392	12.76467000	3.05429200
-9.95163992	12.76467000	3.14310100
-9.95030592	12.76467000	3.05429200
-9.94897192	12.76467000	3.05429200
-9.94763792	12.76467000	3.05429200
-9.94630392	12.76467000	3.05429200
-9.94496992	12.76467000	3.05429200
-9.94363592	12.94290000	3.05429200
-9.94230192	12.76467000	3.05429200
-9.94096792	12.76467000	3.05429200
-9.93963392	12.76467000	3.05429200
-9.93829992	12.76467000	3.05429200
-9.93696592	12.76467000	3.05429200
-9.93563192	12.76467000	3.05429200
-9.93429792	12.76467000	3.05429200
-9.93296392	12.76467000	3.05429200
-9.93162992	12.76467000	3.05429200
-9.93029592	12.76467000	3.05429200
-9.92896192	12.76467000	3.05429200
-9.92762792	12.76467000	3.05429200
-9.92629392	12.76467000	3.05429200
-9.92495992	12.76467000	3.05429200
-9.92362592	12.76467000	3.05429200
-9.92229192	12.76467000	3.05429200
-9.92095792	12.76467000	3.05429200
-9.91962392	12.76467000	3.05429200
-9.91828992	12.94290000	3.05429200
-9.91695592	12.76467000	3.05429200
-9.91562192	12.76467000	3.05429200
-9.91428792	12.76467000	3.14310100
-9.91295392	12.76467000	3.05429200
-9.91161992	12.76467000	3.05429200
-9.91028592	12.76467000	3.14310100
-9.90895192	12.76467000	3.05429200
-9.90761792	12.76467000	3.05429200
-9.90628392	12.76467000	3.05429200
-9.90494992	12.76467000	3.05429200
-9.90361592	12.94290000	3.05429200
-9.90228192	12.76467000	3.05429200
-9.90094792	12.76467000	3.05429200
-9.89961392	12.76467000	3.05429200
-9.89827992	12.76467000	3.05429200
-9.89694592	12.76467000	3.05429200
-9.89561192	12.76467000	3.05429200
