Zeit	Kanal A	Kanal B
(s)	(V)	(V)

-10.00233173	12.76467000	3.05429200
-10.00099773	12.76467000	3.05429200
-9.99966373	12.76467000	3.05429200
-9.99832973	12.76467000	3.05429200
-9.99699573	12.76467000	3.05429200
-9.99566173	12.76467000	3.14310100
-9.99432773	12.76467000	3.05429200
-9.99299373	12.76467000	3.05429200
-9.99165973	12.76467000	3.05429200
-9.99032573	12.76467000	3.05429200
-9.98899173	12.94290000	3.05429200
-9.98765773	12.76467000	3.05429200
-9.98632373	12.76467000	3.05429200
-9.98498973	12.76467000	3.05429200
-9.98365573	12.76467000	3.05429200
-9.98232173	12.94290000	3.05429200
-9.98098773	12.76467000	3.14310100
-9.97965373	12.94290000	3.05429200
-9.97831973	12.76467000	3.05429200
-9.97698573	12.76467000	3.05429200
-9.97565173	12.94290000	3.05429200
-9.97431773	12.76467000	3.05429200
-9.97298373	12.94290000	3.05429200
-9.97164973	12.76467000	3.14310100
-9.97031573	12.76467000	3.05429200
-9.96898173	12.76467000	3.05429200
-9.96764773	12.76467000	3.05429200
-9.96631373	12.76467000	3.05429200
-9.96497973	12.76467000	3.05429200
-9.96364573	12.76467000	3.05429200
-9.96231173	12.76467000	3.05429200
-9.96097773	12.76467000	3.05429200
-9.95964373	12.76467000	3.05429200
-9.95830973	12.76467000	3.05429200
-9.95697573	12.76467000	3.05429200
-9.95564173	12.76467000	3.05429200
-9.95430773	12.76467000	3.14310100
-9.95297373	12.76467000	3.05429200
-9.95163973	12.76467000	3.05429200
-9.95030573	12.76467000	3.05429200
-9.94897173	12.76467000	3.05429200
-9.94763773	12.76467000	3.05429200
-9.94630373	12.76467000	3.14310100
-9.94496973	12.76467000	3.05429200
-9.94363573	12.76467000	3.05429200
-9.94230173	12.76467000	3.05429200
-9.94096773	12.76467000	3.14310100
-9.93963373	12.76467000	3.05429200
-9.93829973	12.76467000	3.05429200
-9.93696573	12.76467000	3.05429200
-9.93563173	12.76467000	3.05429200
-9.93429773	12.76467000	3.05429200
-9.93296373	12.76467000	3.05429200
-9.93162973	12.76467000	3.05429200
-9.93029573	12.76467000	3.05429200
-9.92896173	12.76467000	3.05429200
-9.92762773	12.76467000	3.05429200
-9.92629373	12.76467000	3.05429200
-9.92495973	12.76467000	3.05429200
-9.92362573	12.76467000	3.05429200
-9.92229173	12.76467000	3.05429200
-9.92095773	12.76467000	3.05429200
-9.91962373	12.76467000	3.05429200
-9.91828973	12.76467000	3.05429200
-9.91695573	12.76467000	3.05429200
-9.91562173	12.76467000	3.05429200
-9.91428773	12.76467000	3.05429200
-9.91295373	12.76467000	3.05429200
-9.91161973	12.94290000	3.05429200
-9.91028573	12.76467000	3.05429200
-9.90895173	12.76467000	3.05429200
-9.90761773	12.76467000	3.05429200
-9.90628373	12.76467000	3.05429200
-9.90494973	12.76467000	3.14310100
-9.90361573	12.76467000	3.05429200
-9.90228173	12.76467000	3.05429200
-9.90094773	12.76467000	3.05429200
-9.89961373	12.94290000	3.05429200
-9.89827973	12.76467000	3.05429200
-9.89694573	12.76467000	3.05429200
-9.89561173	12.76467000	3.05429200
-9.89427773	12.76467000	3.05429200
