Cäsium,Natrium;Kobalt,leer
E_A#1 / keV	N_A#1	E_A#2 / keV	N_A#2	E_A#3 / keV	N_A#3	E_A#4 / keV	N_A#4
0,0	0	0,0	0	0,0	0	0,0	0
1,4	0	1,4	0	1,4	0	1,4	0
2,8	0	2,8	0	2,8	0	2,8	0
4,3	0	4,3	0	4,3	0	4,3	0
5,7	0	5,7	2	5,7	4	5,7	0
7,1	1	7,1	3	7,1	6	7,1	0
8,5	8	8,5	5	8,5	10	8,5	0
10,0	6	10,0	7	10,0	6	10,0	0
11,4	19	11,4	14	11,4	12	11,4	0
12,8	146	12,8	88	12,8	77	12,8	0
14,2	331	14,2	252	14,2	168	14,2	4
15,6	315	15,6	269	15,6	210	15,6	3
17,1	296	17,1	286	17,1	210	17,1	8
18,5	282	18,5	273	18,5	229	18,5	8
19,9	263	19,9	293	19,9	191	19,9	14
21,3	258	21,3	319	21,3	226	21,3	10
22,8	277	22,8	332	22,8	253	22,8	16
24,2	299	24,2	323	24,2	276	24,2	10
25,6	320	25,6	343	25,6	245	25,6	9
27,0	299	27,0	370	27,0	239	27,0	10
28,4	366	28,4	367	28,4	273	28,4	12
29,9	346	29,9	385	29,9	309	29,9	16
31,3	384	31,3	347	31,3	295	31,3	11
32,7	411	32,7	375	32,7	299	32,7	14
34,1	448	34,1	422	34,1	290	34,1	13
35,6	502	35,6	359	35,6	273	35,6	7
37,0	726	37,0	378	37,0	296	37,0	12
38,4	1106	38,4	398	38,4	269	38,4	18
39,8	1624	39,8	445	39,8	323	39,8	16
41,2	2272	41,2	389	41,2	284	41,2	17
42,7	2861	42,7	418	42,7	303	42,7	18
44,1	3081	44,1	424	44,1	286	44,1	33
45,5	2949	45,5	399	45,5	326	45,5	20
46,9	2464	46,9	467	46,9	297	46,9	19
48,3	1979	48,3	427	48,3	324	48,3	22
49,8	1444	49,8	428	49,8	358	49,8	25
51,2	1074	51,2	457	51,2	311	51,2	22
52,6	768	52,6	413	52,6	329	52,6	21
54,0	605	54,0	429	54,0	314	54,0	27
55,5	441	55,5	429	55,5	334	55,5	21
56,9	407	56,9	425	56,9	324	56,9	21
58,3	387	58,3	424	58,3	338	58,3	16
59,7	410	59,7	442	59,7	304	59,7	28
61,1	407	61,1	430	61,1	310	61,1	20
62,6	349	62,6	440	62,6	304	62,6	24
64,0	331	64,0	439	64,0	325	64,0	36
65,4	341	65,4	448	65,4	319	65,4	31
66,8	363	66,8	437	66,8	275	66,8	37
68,3	351	68,3	415	68,3	318	68,3	29
69,7	380	69,7	414	69,7	324	69,7	33
71,1	388	71,1	391	71,1	334	71,1	47
72,5	387	72,5	392	72,5	308	72,5	44
73,9	388	73,9	414	73,9	318	73,9	45
75,4	349	75,4	391	75,4	321	75,4	46
76,8	363	76,8	400	76,8	329	76,8	45
78,2	386	78,2	397	78,2	304	78,2	49
79,6	382	79,6	429	79,6	336	79,6	45
81,1	341	81,1	388	81,1	306	81,1	59
82,5	356	82,5	358	82,5	303	82,5	51
83,9	373	83,9	396	83,9	329	83,9	54
85,3	354	85,3	392	85,3	329	85,3	50
86,7	377	86,7	392	86,7	292	86,7	52
88,2	368	88,2	414	88,2	326	88,2	52
89,6	375	89,6	380	89,6	283	89,6	59
91,0	361	91,0	414	91,0	318	91,0	60
92,4	393	92,4	432	92,4	328	92,4	61
93,9	370	93,9	409	93,9	314	93,9	54
95,3	399	95,3	412	95,3	339	95,3	57
96,7	376	96,7	374	96,7	359	96,7	51
98,1	326	98,1	393	98,1	315	98,1	56
99,5	348	99,5	371	99,5	323	99,5	55
101,0	344	101,0	416	101,0	304	101,0	53
102,4	359	102,4	377	102,4	338	102,4	53
103,8	334	103,8	437	103,8	325	103,8	66
105,2	369	105,2	401	105,2	299	105,2	62
106,7	388	106,7	391	106,7	307	106,7	64
108,1	358	108,1	416	108,1	344	108,1	61
109,5	356	109,5	415	109,5	313	109,5	56
110,9	373	110,9	425	110,9	335	110,9	66
112,3	359	112,3	422	112,3	321	112,3	52
113,8	374	113,8	395	113,8	322	113,8	75
115,2	350	115,2	417	115,2	316	115,2	65
116,6	371	116,6	395	116,6	322	116,6	57
118,0	359	118,0	401	118,0	365	118,0	64
119,4	414	119,4	422	119,4	325	119,4	73
120,9	350	120,9	456	120,9	310	120,9	60
122,3	379	122,3	423	122,3	291	122,3	66
123,7	316	123,7	422	123,7	314	123,7	53
125,1	375	125,1	411	125,1	339	125,1	67
126,6	359	126,6	429	126,6	339	126,6	50
128,0	371	128,0	450	128,0	321	128,0	49
129,4	355	129,4	427	129,4	287	129,4	47
130,8	343	130,8	412	130,8	316	130,8	58
132,2	380	132,2	427	132,2	288	132,2	60
133,7	407	133,7	426	133,7	323	133,7	47
135,1	354	135,1	428	135,1	326	135,1	56
136,5	363	136,5	460	136,5	285	136,5	62
137,9	395	137,9	456	137,9	327	137,9	58
139,4	376	139,4	413	139,4	345	139,4	41
140,8	373	140,8	449	140,8	322	140,8	54
142,2	368	142,2	434	142,2	315	142,2	68
143,6	399	143,6	421	143,6	318	143,6	44
145,0	417	145,0	477	145,0	334	145,0	58
146,5	394	146,5	434	146,5	352	146,5	41
147,9	353	147,9	430	147,9	324	147,9	47
149,3	372	149,3	422	149,3	315	149,3	46
150,7	380	150,7	465	150,7	327	150,7	39
152,2	337	152,2	442	152,2	335	152,2	42
153,6	397	153,6	451	153,6	310	153,6	50
155,0	384	155,0	442	155,0	319	155,0	50
156,4	374	156,4	475	156,4	310	156,4	40
157,8	359	157,8	471	157,8	302	157,8	48
159,3	391	159,3	403	159,3	333	159,3	47
160,7	378	160,7	419	160,7	365	160,7	37
162,1	362	162,1	437	162,1	361	162,1	30
163,5	377	163,5	463	163,5	316	163,5	47
165,0	361	165,0	399	165,0	331	165,0	43
166,4	367	166,4	429	166,4	311	166,4	45
167,8	376	167,8	438	167,8	317	167,8	32
169,2	386	169,2	483	169,2	326	169,2	33
170,6	383	170,6	500	170,6	293	170,6	49
172,1	392	172,1	452	172,1	351	172,1	39
173,5	357	173,5	438	173,5	332	173,5	41
174,9	376	174,9	499	174,9	329	174,9	48
176,3	366	176,3	440	176,3	337	176,3	32
177,8	392	177,8	491	177,8	305	177,8	38
179,2	395	179,2	520	179,2	332	179,2	31
180,6	378	180,6	497	180,6	322	180,6	44
182,0	396	182,0	538	182,0	330	182,0	42
183,4	375	183,4	541	183,4	323	183,4	21
184,9	409	184,9	595	184,9	327	184,9	29
186,3	406	186,3	584	186,3	287	186,3	31
187,7	386	187,7	589	187,7	308	187,7	36
189,1	453	189,1	653	189,1	305	189,1	43
190,5	413	190,5	673	190,5	300	190,5	36
192,0	461	192,0	649	192,0	294	192,0	26
193,4	456	193,4	693	193,4	302	193,4	37
194,8	441	194,8	656	194,8	322	194,8	39
196,2	502	196,2	630	196,2	313	196,2	36
197,7	482	197,7	684	197,7	304	197,7	40
199,1	552	199,1	671	199,1	312	199,1	27
200,5	537	200,5	701	200,5	296	200,5	29
201,9	538	201,9	724	201,9	306	201,9	32
203,3	571	203,3	673	203,3	318	203,3	28
204,8	579	204,8	685	204,8	323	204,8	35
206,2	642	206,2	675	206,2	305	206,2	27
207,6	623	207,6	654	207,6	301	207,6	25
209,0	630	209,0	621	209,0	341	209,0	29
210,5	626	210,5	600	210,5	306	210,5	29
211,9	620	211,9	590	211,9	343	211,9	25
213,3	598	213,3	612	213,3	319	213,3	30
214,7	617	214,7	568	214,7	348	214,7	23
216,1	583	216,1	588	216,1	338	216,1	27
217,6	583	217,6	554	217,6	350	217,6	17
219,0	555	219,0	553	219,0	366	219,0	22
220,4	556	220,4	570	220,4	325	220,4	26
221,8	538	221,8	568	221,8	355	221,8	19
223,3	543	223,3	550	223,3	400	223,3	15
224,7	572	224,7	522	224,7	359	224,7	25
226,1	497	226,1	507	226,1	425	226,1	19
227,5	501	227,5	519	227,5	430	227,5	27
228,9	509	228,9	524	228,9	386	228,9	24
230,4	510	230,4	542	230,4	411	230,4	20
231,8	489	231,8	495	231,8	443	231,8	38
233,2	489	233,2	539	233,2	445	233,2	23
234,6	453	234,6	486	234,6	431	234,6	17
236,1	449	236,1	563	236,1	440	236,1	21
237,5	436	237,5	452	237,5	462	237,5	24
238,9	473	238,9	476	238,9	471	238,9	20
240,3	426	240,3	472	240,3	453	240,3	26
241,7	410	241,7	487	241,7	437	241,7	21
243,2	416	243,2	490	243,2	405	243,2	21
244,6	410	244,6	455	244,6	438	244,6	25
246,0	402	246,0	482	246,0	425	246,0	32
247,4	374	247,4	449	247,4	416	247,4	27
248,9	386	248,9	400	248,9	413	248,9	16
250,3	369	250,3	449	250,3	433	250,3	23
251,7	373	251,7	491	251,7	426	251,7	12
253,1	392	253,1	480	253,1	423	253,1	24
254,5	364	254,5	451	254,5	401	254,5	14
256,0	369	256,0	462	256,0	444	256,0	15
257,4	391	257,4	453	257,4	350	257,4	26
258,8	337	258,8	454	258,8	396	258,8	20
260,2	378	260,2	449	260,2	377	260,2	14
261,6	339	261,6	433	261,6	374	261,6	20
263,1	343	263,1	429	263,1	358	263,1	12
264,5	377	264,5	455	264,5	347	264,5	15
265,9	347	265,9	449	265,9	346	265,9	24
267,3	350	267,3	436	267,3	355	267,3	16
268,8	363	268,8	447	268,8	341	268,8	10
270,2	333	270,2	446	270,2	335	270,2	14
271,6	352	271,6	398	271,6	364	271,6	18
273,0	368	273,0	449	273,0	339	273,0	17
274,4	326	274,4	424	274,4	304	274,4	10
275,9	318	275,9	396	275,9	338	275,9	9
277,3	338	277,3	427	277,3	330	277,3	13
278,7	300	278,7	408	278,7	337	278,7	13
280,1	316	280,1	396	280,1	318	280,1	15
281,6	384	281,6	416	281,6	289	281,6	13
283,0	315	283,0	416	283,0	310	283,0	12
284,4	306	284,4	400	284,4	317	284,4	18
285,8	331	285,8	387	285,8	284	285,8	9
287,2	312	287,2	425	287,2	299	287,2	13
288,7	333	288,7	399	288,7	313	288,7	9
290,1	319	290,1	422	290,1	305	290,1	6
291,5	317	291,5	390	291,5	326	291,5	17
292,9	343	292,9	378	292,9	279	292,9	12
294,4	326	294,4	394	294,4	315	294,4	16
295,8	341	295,8	402	295,8	255	295,8	14
297,2	322	297,2	387	297,2	304	297,2	12
298,6	314	298,6	398	298,6	275	298,6	11
300,0	313	300,0	412	300,0	318	300,0	12
301,5	310	301,5	414	301,5	268	301,5	13
302,9	331	302,9	393	302,9	279	302,9	10
304,3	320	304,3	417	304,3	309	304,3	10
305,7	326	305,7	396	305,7	311	305,7	6
307,2	305	307,2	421	307,2	272	307,2	6
