leer(Barium),A(blei),B,C,D,E
E_A#1 / keV	N_A#1	E_A#2 / keV	N_A#2	E_A#3 / keV	N_A#3	E_A#4 / keV	N_A#4	E_A#5 / keV	N_A#5	E_A#6 / keV	N_A#6
0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0
1,0	0	1,0	0	1,0	0	1,0	0	1,0	0	1,0	0
2,1	0	2,1	1	2,1	0	2,1	0	2,1	0	2,1	0
3,1	0	3,1	0	3,1	0	3,1	0	3,1	0	3,1	0
4,2	2	4,2	1	4,2	1	4,2	0	4,2	0	4,2	1
5,2	2	5,2	3	5,2	1	5,2	1	5,2	3	5,2	1
6,2	3	6,2	3	6,2	3	6,2	4	6,2	6	6,2	6
7,3	5	7,3	3	7,3	4	7,3	6	7,3	4	7,3	5
8,3	27	8,3	12	8,3	15	8,3	6	8,3	17	8,3	22
9,3	159	9,3	80	9,3	84	9,3	100	9,3	90	9,3	106
10,4	365	10,4	210	10,4	194	10,4	201	10,4	220	10,4	185
11,4	388	11,4	232	11,4	227	11,4	238	11,4	252	11,4	232
12,5	280	12,5	251	12,5	250	12,5	230	12,5	260	12,5	252
13,5	250	13,5	257	13,5	263	13,5	212	13,5	279	13,5	282
14,5	319	14,5	246	14,5	259	14,5	246	14,5	293	14,5	266
15,6	287	15,6	270	15,6	251	15,6	252	15,6	264	15,6	290
16,6	288	16,6	253	16,6	289	16,6	265	16,6	270	16,6	283
17,7	317	17,7	293	17,7	298	17,7	304	17,7	288	17,7	297
18,7	313	18,7	285	18,7	285	18,7	269	18,7	286	18,7	315
19,7	352	19,7	250	19,7	303	19,7	255	19,7	333	19,7	321
20,8	362	20,8	326	20,8	314	20,8	286	20,8	311	20,8	349
21,8	396	21,8	292	21,8	304	21,8	290	21,8	342	21,8	357
22,9	423	22,9	281	22,9	352	22,9	316	22,9	339	22,9	349
23,9	457	23,9	314	23,9	315	23,9	315	23,9	309	23,9	414
24,9	528	24,9	313	24,9	386	24,9	345	24,9	356	24,9	407
26,0	708	26,0	345	26,0	385	26,0	333	26,0	361	26,0	399
27,0	975	27,0	355	27,0	361	27,0	355	27,0	403	27,0	384
28,0	1406	28,0	352	28,0	413	28,0	392	28,0	401	28,0	398
29,1	2145	29,1	392	29,1	402	29,1	391	29,1	456	29,1	441
30,1	2920	30,1	416	30,1	443	30,1	408	30,1	479	30,1	448
31,2	3620	31,2	379	31,2	437	31,2	404	31,2	471	31,2	427
32,2	3664	32,2	380	32,2	449	32,2	380	32,2	479	32,2	480
33,2	3287	33,2	407	33,2	454	33,2	410	33,2	458	33,2	419
34,3	2690	34,3	399	34,3	398	34,3	354	34,3	387	34,3	401
35,3	2031	35,3	378	35,3	383	35,3	357	35,3	392	35,3	388
36,4	1447	36,4	406	36,4	418	36,4	347	36,4	410	36,4	391
37,4	1032	37,4	383	37,4	393	37,4	313	37,4	424	37,4	382
38,4	764	38,4	382	38,4	417	38,4	372	38,4	439	38,4	360
39,5	623	39,5	405	39,5	376	39,5	380	39,5	397	39,5	444
40,5	492	40,5	395	40,5	416	40,5	362	40,5	418	40,5	338
41,6	439	41,6	399	41,6	385	41,6	353	41,6	405	41,6	360
42,6	407	42,6	402	42,6	378	42,6	402	42,6	426	42,6	386
43,6	445	43,6	348	43,6	373	43,6	347	43,6	390	43,6	395
